UNIX_Time,UTC_Date,UTC_Time,Latitude,North-South,Longitude,East-West
1645151928.8347538,180222,023845.20,3530.96361807,N,13932.71237935,E
1645151928.9267573,180222,023845.30,3530.96361339,N,13932.71238661,E
1645151929.027768,180222,023845.40,3530.96361339,N,13932.71238661,E
1645151929.128756,180222,023845.50,3530.96361268,N,13932.71239073,E
1645151929.2287576,180222,023845.60,3530.96361268,N,13932.71239073,E
1645151929.3296993,180222,023845.70,3530.96361534,N,13932.71239276,E
1645151929.429938,180222,023845.80,3530.96361534,N,13932.71239276,E
1645151929.5309381,180222,023845.90,3530.96361793,N,13932.71239545,E
1645151929.6309397,180222,023846.00,3530.96361793,N,13932.71239545,E
1645151929.7319384,180222,023846.10,3530.96361793,N,13932.71239545,E
1645151929.8323095,180222,023846.20,3530.96361981,N,13932.71239907,E
1645151929.932365,180222,023846.30,3530.96362171,N,13932.71240433,E
1645151930.033365,180222,023846.40,3530.96362171,N,13932.71240433,E
1645151930.1333642,180222,023846.50,3530.96362377,N,13932.71240973,E
1645151930.234365,180222,023846.60,3530.96362377,N,13932.71240973,E
1645151930.3363662,180222,023846.70,3530.96362465,N,13932.71241640,E
1645151930.426807,180222,023846.80,3530.96362465,N,13932.71241640,E
1645151930.5278165,180222,023846.90,3530.96362595,N,13932.71242124,E
1645151930.6278086,180222,023847.00,3530.96362595,N,13932.71242124,E
1645151930.7288053,180222,023847.10,3530.96362595,N,13932.71242124,E
1645151930.8288128,180222,023847.20,3530.96362728,N,13932.71242616,E
1645151930.9295344,180222,023847.30,3530.96362799,N,13932.71243187,E
1645151931.0295336,180222,023847.40,3530.96362799,N,13932.71243187,E
1645151931.1305332,180222,023847.50,3530.96362844,N,13932.71243754,E
1645151931.2315354,180222,023847.60,3530.96362844,N,13932.71243754,E
1645151931.3320234,180222,023847.70,3530.96362918,N,13932.71244342,E
1645151931.4319742,180222,023847.80,3530.96362918,N,13932.71244342,E
1645151931.5330508,180222,023847.90,3530.96363036,N,13932.71244827,E
1645151931.6330483,180222,023848.00,3530.96363036,N,13932.71244827,E
1645151931.733593,180222,023848.10,3530.96363036,N,13932.71244827,E
1645151931.834816,180222,023848.20,3530.96363127,N,13932.71245370,E
1645151931.9258187,180222,023848.30,3530.96363213,N,13932.71245899,E
1645151932.0268185,180222,023848.40,3530.96363213,N,13932.71245899,E
1645151932.1278071,180222,023848.50,3530.96363277,N,13932.71246324,E
1645151932.227816,180222,023848.60,3530.96363277,N,13932.71246324,E
1645151932.3288085,180222,023848.70,3530.96363443,N,13932.71246603,E
1645151932.4285579,180222,023848.80,3530.96363443,N,13932.71246603,E
1645151932.5291731,180222,023848.90,3530.96363575,N,13932.71247066,E
1645151932.630173,180222,023849.00,3530.96363575,N,13932.71247066,E
1645151932.730173,180222,023849.10,3530.96363575,N,13932.71247066,E
1645151932.8311732,180222,023849.20,3530.96363627,N,13932.71247607,E
1645151932.931751,180222,023849.30,3530.96363722,N,13932.71248073,E
1645151933.0326169,180222,023849.40,3530.96363722,N,13932.71248073,E
1645151933.1336138,180222,023849.50,3530.96363741,N,13932.71248568,E
1645151933.2336118,180222,023849.60,3530.96363741,N,13932.71248568,E
1645151933.334613,180222,023849.70,3530.96363795,N,13932.71249088,E
1645151933.4346137,180222,023849.80,3530.96363795,N,13932.71249088,E
1645151933.5262618,180222,023849.90,3530.96363814,N,13932.71249587,E
1645151933.6262617,180222,023850.00,3530.96363814,N,13932.71249587,E
1645151933.7272618,180222,023850.10,3530.96363814,N,13932.71249587,E
1645151933.8272624,180222,023850.20,3530.96363805,N,13932.71250071,E
1645151933.928373,180222,023850.30,3530.96363749,N,13932.71250587,E
1645151934.0293922,180222,023850.40,3530.96363749,N,13932.71250587,E
1645151934.1293955,180222,023850.50,3530.96363736,N,13932.71251186,E
1645151934.230393,180222,023850.60,3530.96363736,N,13932.71251186,E
1645151934.331393,180222,023850.70,3530.96363719,N,13932.71251731,E
1645151934.4313917,180222,023850.80,3530.96363719,N,13932.71251731,E
1645151934.5326626,180222,023850.90,3530.96363618,N,13932.71252238,E
1645151934.632662,180222,023851.00,3530.96363618,N,13932.71252238,E
1645151934.733662,180222,023851.10,3530.96363618,N,13932.71252238,E
1645151934.8336627,180222,023851.20,3530.96363507,N,13932.71252736,E
1645151934.9340212,180222,023851.30,3530.96363434,N,13932.71253271,E
1645151935.0349367,180222,023851.40,3530.96363434,N,13932.71253271,E
1645151935.126935,180222,023851.50,3530.96363377,N,13932.71253804,E
1645151935.2269328,180222,023851.60,3530.96363377,N,13932.71253804,E
1645151935.3279328,180222,023851.70,3530.96363312,N,13932.71254360,E
1645151935.4289331,180222,023851.80,3530.96363312,N,13932.71254360,E
1645151935.5288546,180222,023851.90,3530.96363190,N,13932.71254964,E
1645151935.629853,180222,023852.00,3530.96363190,N,13932.71254964,E
1645151935.729852,180222,023852.10,3530.96363190,N,13932.71254964,E
1645151935.8308525,180222,023852.20,3530.96363090,N,13932.71255448,E
1645151935.9313915,180222,023852.30,3530.96363068,N,13932.71255911,E
1645151936.0314484,180222,023852.40,3530.96363068,N,13932.71255911,E
1645151936.1324575,180222,023852.50,3530.96363016,N,13932.71256395,E
1645151936.2324572,180222,023852.60,3530.96363016,N,13932.71256395,E
1645151936.3334317,180222,023852.70,3530.96362976,N,13932.71256871,E
1645151936.433435,180222,023852.80,3530.96362976,N,13932.71256871,E
1645151936.5344336,180222,023852.90,3530.96362936,N,13932.71257225,E
1645151936.6344337,180222,023853.00,3530.96362936,N,13932.71257225,E
1645151936.7264338,180222,023853.10,3530.96362936,N,13932.71257225,E
1645151936.8264344,180222,023853.20,3530.96362886,N,13932.71257524,E
1645151936.9275174,180222,023853.30,3530.96362891,N,13932.71257983,E
1645151937.0273213,180222,023853.40,3530.96362891,N,13932.71257983,E
1645151937.1282709,180222,023853.50,3530.96362806,N,13932.71258553,E
1645151937.228523,180222,023853.60,3530.96362806,N,13932.71258553,E
1645151937.3292603,180222,023853.70,3530.96362610,N,13932.71259111,E
1645151937.430261,180222,023853.80,3530.96362610,N,13932.71259111,E
1645151937.5303833,180222,023853.90,3530.96362652,N,13932.71259592,E
1645151937.631384,180222,023854.00,3530.96362652,N,13932.71259592,E
1645151937.7313824,180222,023854.10,3530.96362652,N,13932.71259592,E
1645151937.8323853,180222,023854.20,3530.96363153,N,13932.71259729,E
1645151937.9325695,180222,023854.30,3530.96363401,N,13932.71260016,E
1645151938.0335848,180222,023854.40,3530.96363401,N,13932.71260016,E
1645151938.1338797,180222,023854.50,3530.96363140,N,13932.71260564,E
1645151938.2348802,180222,023854.60,3530.96363140,N,13932.71260564,E
1645151938.3258786,180222,023854.70,3530.96363142,N,13932.71261129,E
1645151938.4278805,180222,023854.80,3530.96363142,N,13932.71261129,E
1645151938.52788,180222,023854.90,3530.96363259,N,13932.71261419,E
1645151938.62873,180222,023855.00,3530.96363259,N,13932.71261419,E
1645151938.7297292,180222,023855.10,3530.96363259,N,13932.71261419,E
1645151938.8297,180222,023855.20,3530.96363386,N,13932.71261637,E
1645151938.9302711,180222,023855.30,3530.96363418,N,13932.71262047,E
1645151939.0303779,180222,023855.40,3530.96363418,N,13932.71262047,E
1645151939.1309311,180222,023855.50,3530.96363439,N,13932.71262422,E
1645151939.2319202,180222,023855.60,3530.96363439,N,13932.71262422,E
1645151939.3330047,180222,023855.70,3530.96363351,N,13932.71262979,E
1645151939.4340045,180222,023855.80,3530.96363351,N,13932.71262979,E
1645151939.5348299,180222,023855.90,3530.96363239,N,13932.71263406,E
1645151939.627255,180222,023856.00,3530.96363239,N,13932.71263406,E
1645151939.7279778,180222,023856.10,3530.96363239,N,13932.71263406,E
1645151939.8289793,180222,023856.20,3530.96363194,N,13932.71263662,E
1645151939.9289997,180222,023856.30,3530.96363229,N,13932.71263933,E
1645151940.030147,180222,023856.40,3530.96363229,N,13932.71263933,E
1645151940.130119,180222,023856.50,3530.96363256,N,13932.71264273,E
1645151940.2311196,180222,023856.60,3530.96363256,N,13932.71264273,E
1645151940.3311188,180222,023856.70,3530.96363203,N,13932.71264611,E
1645151940.4321191,180222,023856.80,3530.96363203,N,13932.71264611,E
1645151940.5331318,180222,023856.90,3530.96363224,N,13932.71264903,E
1645151940.6335192,180222,023857.00,3530.96363224,N,13932.71264903,E
1645151940.7332084,180222,023857.10,3530.96363224,N,13932.71264903,E
1645151940.835207,180222,023857.20,3530.96363232,N,13932.71265253,E
1645151940.926208,180222,023857.30,3530.96363157,N,13932.71265657,E
1645151941.0261614,180222,023857.40,3530.96363157,N,13932.71265657,E
1645151941.1275997,180222,023857.50,3530.96363038,N,13932.71266086,E
1645151941.2272966,180222,023857.60,3530.96363038,N,13932.71266086,E
1645151941.3282964,180222,023857.70,3530.96363015,N,13932.71266506,E
1645151941.4292967,180222,023857.80,3530.96363015,N,13932.71266506,E
1645151941.5292964,180222,023857.90,3530.96362988,N,13932.71266812,E
1645151941.6299467,180222,023858.00,3530.96362988,N,13932.71266812,E
1645151941.730947,180222,023858.10,3530.96362988,N,13932.71266812,E
1645151941.8319468,180222,023858.20,3530.96362885,N,13932.71267143,E
1645151941.931948,180222,023858.30,3530.96362723,N,13932.71267485,E
1645151942.033056,180222,023858.40,3530.96362723,N,13932.71267485,E
1645151942.1335151,180222,023858.50,3530.96362584,N,13932.71267855,E
1645151942.2335155,180222,023858.60,3530.96362584,N,13932.71267855,E
1645151942.3345158,180222,023858.70,3530.96362469,N,13932.71268403,E
1645151942.434515,180222,023858.80,3530.96362469,N,13932.71268403,E
1645151942.5260718,180222,023858.90,3530.96362389,N,13932.71268594,E
1645151942.6278157,180222,023859.00,3530.96362389,N,13932.71268594,E
1645151942.7278228,180222,023859.10,3530.96362389,N,13932.71268594,E
1645151942.8282154,180222,023859.20,3530.96362317,N,13932.71268470,E
1645151942.9282157,180222,023859.30,3530.96362286,N,13932.71268548,E
1645151943.029349,180222,023859.40,3530.96362286,N,13932.71268548,E
1645151943.129631,180222,023859.50,3530.96362233,N,13932.71268938,E
1645151943.2306304,180222,023859.60,3530.96362233,N,13932.71268938,E
1645151943.330631,180222,023859.70,3530.96362117,N,13932.71269202,E
1645151943.4316306,180222,023859.80,3530.96362117,N,13932.71269202,E
1645151943.5326307,180222,023859.90,3530.96362075,N,13932.71269125,E
1645151943.632362,180222,023900.00,3530.96362075,N,13932.71269125,E
1645151943.7333646,180222,023900.10,3530.96362075,N,13932.71269125,E
1645151943.8333638,180222,023900.20,3530.96362087,N,13932.71269228,E
1645151943.9343607,180222,023900.30,3530.96362063,N,13932.71269547,E
1645151944.0343611,180222,023900.40,3530.96362063,N,13932.71269547,E
1645151944.1263611,180222,023900.50,3530.96361875,N,13932.71269980,E
1645151944.2268543,180222,023900.60,3530.96361875,N,13932.71269980,E
1645151944.3278546,180222,023900.70,3530.96361705,N,13932.71270178,E
1645151944.4288547,180222,023900.80,3530.96361705,N,13932.71270178,E
1645151944.5288546,180222,023900.90,3530.96361728,N,13932.71270226,E
1645151944.6298542,180222,023901.00,3530.96361728,N,13932.71270226,E
1645151944.7297428,180222,023901.10,3530.96361728,N,13932.71270226,E
1645151944.830741,180222,023901.20,3530.96361754,N,13932.71270403,E
1645151944.9307406,180222,023901.30,3530.96361659,N,13932.71270742,E
1645151945.0316508,180222,023901.40,3530.96361659,N,13932.71270742,E
